city_name,region_code,region_name,is_duplicate,aliases,phone_route_code
норильск,siberian_fd,Сибирский ФО,0,,
исилькуль,siberian_fd,Сибирский ФО,0,,
колпашево,siberian_fd,Сибирский ФО,0,,
нижнеудинск,siberian_fd,Сибирский ФО,0,,
калтан,siberian_fd,Сибирский ФО,0,,
лесосибирск,siberian_fd,Сибирский ФО,0,,
чадан,siberian_fd,Сибирский ФО,0,,
канск,siberian_fd,Сибирский ФО,0,,
сорск,siberian_fd,Сибирский ФО,0,,
чулым,siberian_fd,Сибирский ФО,0,,
обь,siberian_fd,Сибирский ФО,0,,
зима,siberian_fd,Сибирский ФО,0,,
топки,siberian_fd,Сибирский ФО,0,,
мыски,siberian_fd,Сибирский ФО,0,,
енисейск,siberian_fd,Сибирский ФО,0,,
ужур,siberian_fd,Сибирский ФО,0,,
прокольевск,siberian_fd,Сибирский ФО,0,,
ленинск-кузнецкий,siberian_fd,Сибирский ФО,0,,
шагонар,siberian_fd,Сибирский ФО,0,,
осинки,siberian_fd,Сибирский ФО,0,,
кемерово,siberian_fd,Сибирский ФО,0,,
тулун,siberian_fd,Сибирский ФО,0,,
шарыпово,siberian_fd,Сибирский ФО,0,,
купино,siberian_fd,Сибирский ФО,0,,
барнаул,siberian_fd,Сибирский ФО,0,,
змеиногорск,siberian_fd,Сибирский ФО,0,,
стрежевой,siberian_fd,Сибирский ФО,0,,
бердск,siberian_fd,Сибирский ФО,0,,
зеленогорск,north-western_fd,Северо-Западный ФО,1,,
ойсхара,north-caucasian_fd,Северо-Кавказский ФО,0,,
терек,north-caucasian_fd,Северо-Кавказский ФО,0,,
каспийск,north-caucasian_fd,Северо-Кавказский ФО,0,,
дербент,north-caucasian_fd,Северо-Кавказский ФО,0,,
магас,north-caucasian_fd,Северо-Кавказский ФО,0,,
чегем,north-caucasian_fd,Северо-Кавказский ФО,0,,
пятигорск,north-caucasian_fd,Северо-Кавказский ФО,0,,
шали,north-caucasian_fd,Северо-Кавказский ФО,0,,
черкесск,north-caucasian_fd,Северо-Кавказский ФО,0,,
моздок,north-caucasian_fd,Северо-Кавказский ФО,0,,
майский,north-caucasian_fd,Северо-Кавказский ФО,0,,
ипатово,north-caucasian_fd,Северо-Кавказский ФО,0,,
сунжа,north-caucasian_fd,Северо-Кавказский ФО,0,,
дагестанские огни,north-caucasian_fd,Северо-Кавказский ФО,0,,
ставрополь,north-caucasian_fd,Северо-Кавказский ФО,0,,
новопавловск,north-caucasian_fd,Северо-Кавказский ФО,0,,
курчалой,north-caucasian_fd,Северо-Кавказский ФО,0,,
нефтекумск,north-caucasian_fd,Северо-Кавказский ФО,0,,
аргун,north-caucasian_fd,Северо-Кавказский ФО,0,,
